browser, majorVersion, detailedVersion, releaseDate, numberOfFeatures, fingerprintApis, addedFeatures, removedFeatures
opera, 56, 56.0, 25-Sep-18, 8729, 271, 771, 68
opera, 57, 57.0, 28-Nov-18, 8437, 272, 189, 481
opera, 58, 58.0, 23-Jan-19, 8442, 272, 74, 69
opera, 60, 60.0, 9-Apr-19, 8546, 272, 147, 43
opera, 62, 62.0, 27-Jun-19, 8728, 272, 192, 10
opera, 63, 63.0, 20-Aug-19, 8787, 272, 107, 48
opera, 64, 64.0, 8-Oct-19, 8888, 272, 108, 7
opera, 65, 65.0, 14-Nov-19, 11662, 272, 2779, 5
opera, 66, 66.0, 8-Jan-20, 11900, 274, 266, 28
opera, 67, 67.0, 25-Feb-20, 11960, 274, 74, 14
opera, 68, 68.0, 22-Apr-20, 12190, 274, 232, 2
