Browser, FeaturesSize, FingerprintingApiSize, AddedFeatureSize, RemovedFeatureSize
chrome-86.json, 6230, 274, 0, 0
chrome-89.json, 6331, 274, 110, 9
chrome-91.json, 6397, 274, 80, 14
firefox-80.json, 6424, 271, 1714, 1687
